"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","75",""
"Albania","2012","99",""
"Algeria","2012","99",""
"Angola","2012","87",""
"Argentina","2012","99",""
"Armenia","2012","96",""
"Azerbaijan","2012","82",""
"Bangladesh","2012","95",""
"Belarus","2012","98",""
"Belize","2012","98",""
"Benin","2012","94",""
"Bhutan","2012","95",""
"Bolivia (Plurinational State of)","2012","87",""
"Bosnia and Herzegovina","2012","96",""
"Botswana","2012","99",""
"Brazil","2012","99",""
"Brunei Darussalam","2012","99",""
"Bulgaria","2012","97",""
"Burkina Faso","2012","96",""
"Burundi","2012","98",""
"Cabo Verde","2012","99",""
"Cambodia","2012","99",""
"Cameroon","2012","81",""
"Central African Republic","2012","74",""
"Chad","2012","63",""
"Chile","2012","92",""
"China","2012","99",""
"Colombia","2012","89",""
"Comoros","2012","76",""
"Congo","2012","92",""
"Cook Islands","2012","98",""
"Costa Rica","2012","78",""
"Côte d’Ivoire","2012","99",""
"Croatia","2012","99",""
"Cuba","2012","99",""
"Democratic People's Republic of Korea","2012","98",""
"Democratic Republic of the Congo","2012","78",""
"Djibouti","2012","87",""
"Dominica","2012","98",""
"Dominican Republic","2012","99",""
"Ecuador","2012","99",""
"Egypt","2012","95",""
"El Salvador","2012","90",""
"Equatorial Guinea","2012","73",""
"Eritrea","2012","99",""
"Estonia","2012","97",""
"Ethiopia","2012","80",""
"Fiji","2012","99",""
"Gabon","2012","98",""
"Gambia","2012","98",""
"Georgia","2012","95",""
"Ghana","2012","98",""
"Greece","2012","0",""
"Guatemala","2012","94",""
"Guinea","2012","84",""
"Guinea-Bissau","2012","94",""
"Guyana","2012","98",""
"Haiti","2012","75",""
"Honduras","2012","90",""
"Hungary","2012","99",""
"India","2012","87",""
"Indonesia","2012","81",""
"Iran (Islamic Republic of)","2012","99",""
"Iraq","2012","90",""
"Ireland","2012","42",""
"Jamaica","2012","96",""
"Japan","2012","95",""
"Jordan","2012","96",""
"Kazakhstan","2012","95",""
"Kenya","2012","84",""
"Kiribati","2012","95",""
"Kuwait","2012","97",""
"Kyrgyzstan","2012","98",""
"Lao People's Democratic Republic","2012","81",""
"Latvia","2012","97",""
"Lesotho","2012","95",""
"Liberia","2012","85",""
"Libya","2012","99",""
"Lithuania","2012","98",""
"Madagascar","2012","78",""
"Malawi","2012","99",""
"Malaysia","2012","99",""
"Maldives","2012","99",""
"Mali","2012","89",""
"Marshall Islands","2012","97",""
"Mauritania","2012","95",""
"Mauritius","2012","99",""
"Mexico","2012","99",""
"Micronesia (Federated States of)","2012","78",""
"Monaco","2012","89",""
"Mongolia","2012","99",""
"Montenegro","2012","95",""
"Morocco","2012","99",""
"Mozambique","2012","91",""
"Myanmar","2012","87",""
"Namibia","2012","90",""
"Nauru","2012","99",""
"Nepal","2012","96",""
"Nicaragua","2012","98",""
"Niger","2012","97",""
"Nigeria","2012","60",""
"Niue","2012","99",""
"Oman","2012","99",""
"Pakistan","2012","87",""
"Panama","2012","99",""
"Papua New Guinea","2012","84",""
"Paraguay","2012","93",""
"Peru","2012","95",""
"Philippines","2012","88",""
"Poland","2012","93",""
"Portugal","2012","99",""
"Qatar","2012","97",""
"Republic of Korea","2012","99",""
"Republic of Moldova","2012","99",""
"Romania","2012","99",""
"Russian Federation","2012","96",""
"Rwanda","2012","99",""
"Saint Kitts and Nevis","2012","95",""
"Saint Lucia","2012","99",""
"Saint Vincent and the Grenadines","2012","97",""
"Samoa","2012","96",""
"Sao Tome and Principe","2012","99",""
"Saudi Arabia","2012","99",""
"Senegal","2012","97",""
"Serbia","2012","98",""
"Seychelles","2012","99",""
"Sierra Leone","2012","97",""
"Singapore","2012","99",""
"Slovakia","2012","90",""
"Solomon Islands","2012","83",""
"Somalia","2012","37",""
"South Africa","2012","84",""
"South Sudan","2012","77",""
"Sri Lanka","2012","99",""
"Sudan","2012","92",""
"Swaziland","2012","98",""
"Sweden","2012","24",""
"Syrian Arab Republic","2012","82",""
"Tajikistan","2012","97",""
"Thailand","2012","99",""
"The former Yugoslav Republic of Macedonia","2012","94",""
"Timor-Leste","2012","71",""
"Togo","2012","97",""
"Tonga","2012","95",""
"Tunisia","2012","99",""
"Turkey","2012","96",""
"Turkmenistan","2012","99",""
"Tuvalu","2012","99",""
"Uganda","2012","82",""
"Ukraine","2012","95",""
"United Arab Emirates","2012","94",""
"United Republic of Tanzania","2012","99",""
"Uruguay","2012","99",""
"Uzbekistan","2012","99",""
"Vanuatu","2012","81",""
"Venezuela (Bolivarian Republic of)","2012","96",""
"Viet Nam","2012","98",""
"Yemen","2012","64",""
"Zambia","2012","83",""
"Zimbabwe","2012","99",""

