"Country or Area","Year","Item","Value"
"Afghanistan","2017","Gross Domestic Product (GDP)","592.777031929709"
"Afghanistan","2015","Gross Domestic Product (GDP)","598.835602333915"
"Albania","2017","Gross Domestic Product (GDP)","4516.05595269221"
"Albania","2015","Gross Domestic Product (GDP)","3939.41312588328"
"Algeria","2017","Gross Domestic Product (GDP)","4044.29017503374"
"Algeria","2015","Gross Domestic Product (GDP)","4177.88498281889"
"Andorra","2017","Gross Domestic Product (GDP)","39231.338750222"
"Andorra","2015","Gross Domestic Product (GDP)","36041.2568514405"
"Angola","2017","Gross Domestic Product (GDP)","4095.81168620581"
"Angola","2015","Gross Domestic Product (GDP)","4166.97962608838"
"Anguilla","2017","Gross Domestic Product (GDP)","19280.9318177201"
"Anguilla","2015","Gross Domestic Product (GDP)","23148.3198066054"
"Antigua and Barbuda","2017","Gross Domestic Product (GDP)","15383.4151884998"
"Antigua and Barbuda","2015","Gross Domestic Product (GDP)","14286.0931598293"
"Argentina","2017","Gross Domestic Product (GDP)","14627.6156352903"
"Argentina","2015","Gross Domestic Product (GDP)","14971.4909427362"
"Armenia","2017","Gross Domestic Product (GDP)","3914.52524563496"
"Armenia","2015","Gross Domestic Product (GDP)","3607.29664708673"
"Aruba","2017","Gross Domestic Product (GDP)","29005.6251913389"
"Aruba","2015","Gross Domestic Product (GDP)","27980.398820177"
"Australia","2017","Gross Domestic Product (GDP)","57601.2739708587"
"Australia","2015","Gross Domestic Product (GDP)","52182.3293078672"
"Austria","2017","Gross Domestic Product (GDP)","47428.6685412549"
"Austria","2015","Gross Domestic Product (GDP)","43994.9906890665"
"Azerbaijan","2017","Gross Domestic Product (GDP)","4150.86884406413"
"Azerbaijan","2015","Gross Domestic Product (GDP)","5515.70729085138"
"Bahamas","2017","Gross Domestic Product (GDP)","31827.7429241267"
"Bahamas","2015","Gross Domestic Product (GDP)","31405.9635601781"
"Bahrain","2017","Gross Domestic Product (GDP)","23715.4377592829"
"Bahrain","2015","Gross Domestic Product (GDP)","22688.9056262965"
"Bangladesh","2017","Gross Domestic Product (GDP)","1538.23362690474"
"Bangladesh","2015","Gross Domestic Product (GDP)","1244.53229043213"
"Barbados","2017","Gross Domestic Product (GDP)","17392.0242635345"
"Barbados","2015","Gross Domestic Product (GDP)","16525.0859023426"
"Belarus","2017","Gross Domestic Product (GDP)","5790.90805441269"
"Belarus","2015","Gross Domestic Product (GDP)","5980.7445073463"
"Belgium","2017","Gross Domestic Product (GDP)","44155.9678345947"
"Belgium","2015","Gross Domestic Product (GDP)","40941.8972233926"
"Belize","2017","Gross Domestic Product (GDP)","4887.55981999579"
"Belize","2015","Gross Domestic Product (GDP)","4775.91507703646"
"Benin","2017","Gross Domestic Product (GDP)","829.45569938311"
"Benin","2015","Gross Domestic Product (GDP)","799.378536963386"
"Bermuda","2017","Gross Domestic Product (GDP)","99436.6927944932"
"Bermuda","2015","Gross Domestic Product (GDP)","92487.0065471331"
"Bhutan","2017","Gross Domestic Product (GDP)","3390.73852192579"
"Bhutan","2015","Gross Domestic Product (GDP)","2829.88923845696"
"Bolivia (Plurinational State of)","2017","Gross Domestic Product (GDP)","3351.12739940054"
"Bolivia (Plurinational State of)","2015","Gross Domestic Product (GDP)","3035.97221349482"
"Bosnia and Herzegovina","2017","Gross Domestic Product (GDP)","5394.7414608675"
"Bosnia and Herzegovina","2015","Gross Domestic Product (GDP)","4727.30003278749"
"Botswana","2017","Gross Domestic Product (GDP)","7893.36601862979"
"Botswana","2015","Gross Domestic Product (GDP)","6799.85966612953"
"Brazil","2017","Gross Domestic Product (GDP)","9880.97913257581"
"Brazil","2015","Gross Domestic Product (GDP)","8813.98937549952"
"British Virgin Islands","2017","Gross Domestic Product (GDP)","46122.4763498664"
"British Virgin Islands","2015","Gross Domestic Product (GDP)","40283.0760496707"
"Brunei Darussalam","2017","Gross Domestic Product (GDP)","28572.2922440783"
"Brunei Darussalam","2015","Gross Domestic Product (GDP)","31164.3291487804"
"Bulgaria","2017","Gross Domestic Product (GDP)","8300.17331640771"
"Bulgaria","2015","Gross Domestic Product (GDP)","7032.2940765931"
"Burkina Faso","2017","Gross Domestic Product (GDP)","738.280449397316"
"Burkina Faso","2015","Gross Domestic Product (GDP)","652.831643922766"
"Burundi","2017","Gross Domestic Product (GDP)","297.128582646825"
"Burundi","2015","Gross Domestic Product (GDP)","276.626313067663"
"Cabo Verde","2017","Gross Domestic Product (GDP)","3292.63835713094"
"Cabo Verde","2015","Gross Domestic Product (GDP)","3041.78259732371"
"Cambodia","2017","Gross Domestic Product (GDP)","1385.26041708861"
"Cambodia","2015","Gross Domestic Product (GDP)","1162.90489525079"
"Cameroon","2017","Gross Domestic Product (GDP)","1425.10607203572"
"Cameroon","2015","Gross Domestic Product (GDP)","1326.4999303438"
"Canada","2017","Gross Domestic Product (GDP)","44924.9370006513"
"Canada","2015","Gross Domestic Product (GDP)","43193.7484050775"
"Cayman Islands","2017","Gross Domestic Product (GDP)","82440.31391924"
"Cayman Islands","2015","Gross Domestic Product (GDP)","77517.7196165147"
"Central African Republic","2017","Gross Domestic Product (GDP)","434.583175556568"
"Central African Republic","2015","Gross Domestic Product (GDP)","363.248244299765"
"Chad","2017","Gross Domestic Product (GDP)","692.161629529632"
"Chad","2015","Gross Domestic Product (GDP)","828.465788985983"
