"Country or Area","Year(s)","Variant","Value"
"Afghanistan","2010-2015","Medium","62.32"
"Africa","2010-2015","Medium","60.25"
"Albania","2010-2015","Medium","77.49"
"Algeria","2010-2015","Medium","75.51"
"American Samoa","2010-2015","Medium",""
"Andorra","2010-2015","Medium",""
"Angola","2010-2015","Medium","57.74"
"Anguilla","2010-2015","Medium",""
"Antigua and Barbuda","2010-2015","Medium","76.14"
"Argentina","2010-2015","Medium","75.67"
"Armenia","2010-2015","Medium","73.99"
"Aruba","2010-2015","Medium","75.37"
"Asia","2010-2015","Medium","71.83"
"Australia","2010-2015","Medium","82.36"
"Australia/New Zealand","2010-2015","Medium","82.19"
"Austria","2010-2015","Medium","80.99"
"Azerbaijan","2010-2015","Medium","71.57"
"Bahamas","2010-2015","Medium","72.47"
"Bahrain","2010-2015","Medium","76.41"
"Bangladesh","2010-2015","Medium","70.79"
"Barbados","2010-2015","Medium","78.6"
"Belarus","2010-2015","Medium","72.45"
"Belgium","2010-2015","Medium","80.52"
"Belize","2010-2015","Medium","73.4"
"Benin","2010-2015","Medium","59.93"
"Bermuda","2010-2015","Medium",""
"Bhutan","2010-2015","Medium","69.41"
"Bolivia (Plurinational State of)","2010-2015","Medium","69.26"
"Bonaire, Sint Eustatius and Saba","2010-2015","Medium",""
"Bosnia and Herzegovina","2010-2015","Medium","76.52"
"Botswana","2010-2015","Medium","64.41"
"Brazil","2010-2015","Medium","74.34"
"British Virgin Islands","2010-2015","Medium",""
"Brunei Darussalam","2010-2015","Medium","75"
"Bulgaria","2010-2015","Medium","74.25"
"Burkina Faso","2010-2015","Medium","58.71"
"Burundi","2010-2015","Medium","58.92"
"Cabo Verde","2010-2015","Medium","71.53"
"Cambodia","2010-2015","Medium","67.61"
"Cameroon","2010-2015","Medium","56.28"
"Canada","2010-2015","Medium","81.79"
"Caribbean","2010-2015","Medium","71.63"
"Cayman Islands","2010-2015","Medium",""
"Central African Republic","2010-2015","Medium","48.91"
"Central America","2010-2015","Medium","74.59"
"Central and Southern Asia","2010-2015","Medium","68.04"
"Central Asia","2010-2015","Medium","69.52"
"Chad","2010-2015","Medium","52.27"
"Channel Islands","2010-2015","Medium","81.97"
"Chile","2010-2015","Medium","79.29"
"China","2010-2015","Medium","75.14"
"China, Hong Kong SAR","2010-2015","Medium","83.4"
"China, Macao SAR","2010-2015","Medium","83.28"
"Other non-specified areas","2010-2015","Medium","79.26"
"Colombia","2010-2015","Medium","75.99"
"Comoros","2010-2015","Medium","62.83"
"Congo","2010-2015","Medium","61.66"
"Cook Islands","2010-2015","Medium",""
"Costa Rica","2010-2015","Medium","79.16"
"Côte d'Ivoire","2010-2015","Medium","54.63"
"Croatia","2010-2015","Medium","77.45"
"Cuba","2010-2015","Medium","78.46"
"Curaçao","2010-2015","Medium","77.77"
"Cyprus","2010-2015","Medium","79.92"
"Czechia","2010-2015","Medium","78.16"
"Dem. People's Republic of Korea","2010-2015","Medium","70.79"
"Democratic Republic of the Congo","2010-2015","Medium","58.1"
"Denmark","2010-2015","Medium","80.14"
"Djibouti","2010-2015","Medium","61.55"
"Dominica","2010-2015","Medium",""
"Dominican Republic","2010-2015","Medium","72.62"
"Eastern Africa","2010-2015","Medium","60.97"
"Eastern and South-Eastern Asia","2010-2015","Medium","74.88"
"Eastern Asia","2010-2015","Medium","76.34"
"Eastern Europe","2010-2015","Medium","72.19"
"Ecuador","2010-2015","Medium","75.59"
"Egypt","2010-2015","Medium","70.83"
"El Salvador","2010-2015","Medium","71.82"
"Equatorial Guinea","2010-2015","Medium","56.48"
"Eritrea","2010-2015","Medium","63.42"
"Estonia","2010-2015","Medium","76.76"
"Eswatini","2010-2015","Medium","50.67"
"Ethiopia","2010-2015","Medium","63.7"
"Europe","2010-2015","Medium","77.18"
"Europe","2010-2015","Medium","77.18"
"Europe and Northern America","2010-2015","Medium","77.75"
"Falkland Islands (Malvinas)","2010-2015","Medium",""
"Faroe Islands","2010-2015","Medium",""
"Fiji","2010-2015","Medium","66.95"
"Finland","2010-2015","Medium","80.7"
"France","2010-2015","Medium","81.94"
"French Guiana","2010-2015","Medium","79.31"
