Country,Year,Series,Value
"Total, all countries or areas",2005,Population mid-year estimates (millions),6541.907
"Total, all countries or areas",2005,Population mid-year estimates for males (millions),3296.4853
"Total, all countries or areas",2005,Population mid-year estimates for females (millions),3245.4217
"Total, all countries or areas",2005,Sex ratio (males per 100 females),101.5734
"Total, all countries or areas",2005,Population aged 0 to 14 years old (percentage),28.1425
"Total, all countries or areas",2005,Population aged 60+ years old (percentage),10.2516
"Total, all countries or areas",2005,Population density,50.286
"Total, all countries or areas",2010,Population mid-year estimates (millions),6956.8236
"Total, all countries or areas",2010,Population mid-year estimates for males (millions),3507.7036
"Total, all countries or areas",2010,Population mid-year estimates for females (millions),3449.12
"Total, all countries or areas",2010,Sex ratio (males per 100 females),101.6985
"Total, all countries or areas",2010,Population aged 0 to 14 years old (percentage),26.9741
"Total, all countries or areas",2010,Population aged 60+ years old (percentage),10.981
"Total, all countries or areas",2010,Population density,53.4754
"Total, all countries or areas",2017,Population mid-year estimates (millions),7547.8589
"Total, all countries or areas",2017,Population mid-year estimates for males (millions),3805.4691
"Total, all countries or areas",2017,Population mid-year estimates for females (millions),3742.3898
"Total, all countries or areas",2017,Sex ratio (males per 100 females),101.6855
"Total, all countries or areas",2017,Population aged 0 to 14 years old (percentage),25.8943
"Total, all countries or areas",2017,Population aged 60+ years old (percentage),12.7105
"Total, all countries or areas",2017,Population density,58.0185
"Total, all countries or areas",2017,Surface area (thousand km2),136162
"Total, all countries or areas",2020,Population mid-year estimates (millions),7794.7987
"Total, all countries or areas",2020,Population mid-year estimates for males (millions),3929.974
"Total, all countries or areas",2020,Population mid-year estimates for females (millions),3864.8248
"Total, all countries or areas",2020,Sex ratio (males per 100 females),101.6857
"Total, all countries or areas",2020,Population aged 0 to 14 years old (percentage),25.4484
"Total, all countries or areas",2020,Population aged 60+ years old (percentage),13.4673
"Total, all countries or areas",2020,Population density,59.9167
Africa,2005,Population mid-year estimates (millions),916.1543
Africa,2005,Population mid-year estimates for males (millions),456.6481
Africa,2005,Population mid-year estimates for females (millions),459.5062
Africa,2005,Sex ratio (males per 100 females),99.378
Africa,2005,Population aged 0 to 14 years old (percentage),41.8707
Africa,2005,Population aged 60+ years old (percentage),5.1112
Africa,2005,Population density,30.9005
Africa,2010,Population mid-year estimates (millions),1039.304
Africa,2010,Population mid-year estimates for males (millions),518.2526
Africa,2010,Population mid-year estimates for females (millions),521.0514
Africa,2010,Sex ratio (males per 100 females),99.4629
Africa,2010,Population aged 0 to 14 years old (percentage),41.4901
Africa,2010,Population aged 60+ years old (percentage),5.1369
Africa,2010,Population density,35.0542
Africa,2017,Population mid-year estimates (millions),1244.2223
Africa,2017,Population mid-year estimates for males (millions),621.3865
Africa,2017,Population mid-year estimates for females (millions),622.8357
Africa,2017,Sex ratio (males per 100 females),99.7673
Africa,2017,Population aged 0 to 14 years old (percentage),40.92
Africa,2017,Population aged 60+ years old (percentage),5.3562
Africa,2017,Population density,41.9658
Africa,2017,Surface area (thousand km2),30311
Africa,2020,Population mid-year estimates (millions),1340.5981
Africa,2020,Population mid-year estimates for males (millions),669.8783
Africa,2020,Population mid-year estimates for females (millions),670.7198
