"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Afghanistan","2015","Female","15-24 year olds","Percent","46.10599"
"Afghanistan","2015","Male","15-24 year olds","Percent","69.42052"
"Afghanistan","2015","All genders","15-24 year olds","Percent","58.1549"
"Albania","2015","Female","15-24 year olds","Percent","99.08326"
"Albania","2015","Male","15-24 year olds","Percent","98.97822"
"Albania","2015","All genders","15-24 year olds","Percent","99.0292"
"Algeria","2015","All genders","15-24 year olds","Percent","96.7526"
"Algeria","2015","Female","15-24 year olds","Percent","96.29026"
"Algeria","2015","Male","15-24 year olds","Percent","97.20032"
"Angola","2015","Male","15-24 year olds","Percent","78.61457"
"Angola","2015","All genders","15-24 year olds","Percent","72.92679"
"Angola","2015","Female","15-24 year olds","Percent","67.28906"
"Argentina","2015","All genders","15-24 year olds","Percent","99.30437"
"Argentina","2015","Male","15-24 year olds","Percent","99.13132"
"Argentina","2015","Female","15-24 year olds","Percent","99.48284"
"Armenia","2015","All genders","15-24 year olds","Percent","99.8454"
"Armenia","2015","Male","15-24 year olds","Percent","99.81629"
"Armenia","2015","Female","15-24 year olds","Percent","99.87256"
"Aruba","2015","Male","15-24 year olds","Percent","99.45435"
"Aruba","2015","Female","15-24 year olds","Percent","99.36831"
"Aruba","2015","All genders","15-24 year olds","Percent","99.4122"
"Azerbaijan","2015","All genders","15-24 year olds","Percent","99.956"
"Azerbaijan","2015","Female","15-24 year olds","Percent","99.93462"
"Azerbaijan","2015","Male","15-24 year olds","Percent","99.97571"
"Bahrain","2015","Female","15-24 year olds","Percent","99.7438"
"Bahrain","2015","All genders","15-24 year olds","Percent","99.77188"
"Bahrain","2015","Male","15-24 year olds","Percent","99.7902"
"Bangladesh","2015","Female","15-24 year olds","Percent","85.86645"
"Bangladesh","2015","Male","15-24 year olds","Percent","80.62255"
"Bangladesh","2015","All genders","15-24 year olds","Percent","83.19781"
"Belarus","2015","Male","15-24 year olds","Percent","99.82029"
"Belarus","2015","Female","15-24 year olds","Percent","99.86124"
"Belarus","2015","All genders","15-24 year olds","Percent","99.84019"
