Country,Year,total_population,log_population,GDP,log_GDP,health_expense,HDI,HIV_death_rate,hep_B_immunity,polio_immunity,BCG_immunity,avg_immunity,adult_mortality_rate,new_mortality,life_expectancy,Homicide_Rate,Unemployment_Rate,Population_Density,Internet_Users,GNI_per_capita
Afghanistan,2012,30696958,7.48709534,684.5292917,2.835392037,11.67,0.479,0.860835263,67,67,78,70.66666667,242.3,-242.3,62.21,8.5,11.2,55.5956,13.5,1560
Albania,2012,2900401,6.462458046,4227.650566,3.626099084,9.71,0.771,0.052744345,99,99,96,98,103.2,-103.2,75.18,3.4,13.8,100.32,71.847,9280
Algeria,2012,37565847,7.574793185,5592.223152,3.747584493,9.99,0.737,1.05033522,95,95,99,96.33333333,101.5,-101.5,75.76,1.5,12,17.38,47.6911,8360
Angola,2012,25096150,7.399607101,5100.09819,3.707578537,5.57,0.537,76.61376502,52,54,73,59.66666667,253.2,-253.2,60.36,9.5,7.1,23.92,14.3391,5400
Argentina,2012,42096739,7.624248455,13924.75572,4.143787585,8.74,0.823,3.854361789,91,90,99,93.33333333,117.7,-117.7,76.21,3.8,17.7,99.02,64.7449,8820
Armenia,2012,2881922,6.459682222,3681.851297,3.566066244,7.44,0.737,0.687988216,95,96,96,95.66666667,130.6,-130.6,73.99,2.5,5,113.69,79,9310
Azerbaijan,2012,9295784,6.968286024,7521.017807,3.876276617,3.81,0.736,0.282383559,88,92,98,92.66666667,126.4,-126.4,71.95,2.7,4.4,1081.66,15,2030
Bangladesh,2012,155727053,8.192364065,853.6053578,2.931257132,6.92,0.567,0.351358439,94,94,98,95.33333333,139.7,-139.7,70.94,3.5,5.7,45.52,74.4364,14960
Belarus,2012,9464495,6.976097446,6975.213748,3.843557521,13.21,0.803,3.271597618,97,98,98,97.66666667,191.8,-191.8,72.16,36.7,6.6,16.36,47.0826,7630
Belize,2012,336701,5.527244406,4505.62068,3.653754627,12.47,0.706,22.33906356,98,98,98,98,183.1,-183.1,69.92,6.3,2.5,97.38,20,1550
Benin,2012,9729160,6.988075346,834.2963427,2.92132034,10.17,0.489,25.10846216,80,80,96,85.33333333,251.6,-251.6,59.9,2,2.4,19.42,48.1064,6200
